DATE,USD12MD156N
2015-10-23,0.8319
2015-10-26,0.83815
2015-10-27,0.8384
2015-10-28,0.83615
2015-10-29,0.8629
2015-10-30,0.8684
2015-11-02,0.87465
2015-11-03,0.8824
2015-11-04,0.88615
2015-11-05,0.90065
2015-11-06,0.90115
2015-11-09,0.93385
2015-11-10,0.92485
2015-11-11,0.92835
2015-11-12,0.9326
2015-11-13,0.9361
2015-11-16,0.93235
2015-11-17,0.93085
2015-11-18,0.93585
2015-11-19,0.94135
2015-11-20,0.94735
2015-11-23,0.96135
2015-11-24,0.9666
2015-11-25,0.97335
2015-11-26,0.9776
2015-11-27,0.97385
2015-11-30,0.9806
2015-12-01,0.98435
2015-12-02,0.9896
2015-12-03,1.0112
2015-12-04,1.0177
2015-12-07,1.0402
2015-12-08,1.04495
2015-12-09,1.05245
2015-12-10,1.0547
2015-12-11,1.06675
2015-12-14,1.06425
2015-12-15,1.0735
2015-12-16,1.0835
2015-12-17,1.109
2015-12-18,1.11425
2015-12-21,1.12575
2015-12-22,1.131
2015-12-23,1.144
2015-12-24,1.1475
2015-12-25,.
2015-12-28,.
2015-12-29,1.1595
2015-12-30,1.17475
2015-12-31,1.178
2016-01-01,.
2016-01-04,1.16925
2016-01-05,1.1731
2016-01-06,1.16535
2016-01-07,1.1471
2016-01-08,1.1551
2016-01-11,1.1536
2016-01-12,1.1561
2016-01-13,1.1631
2016-01-14,1.1586
2016-01-15,1.1451
2016-01-18,1.1463
2016-01-19,1.15045
2016-01-20,1.14045
2016-01-21,1.1437
2016-01-22,1.15595
2016-01-25,1.1529
2016-01-26,1.1512
2016-01-27,1.15045
2016-01-28,1.15105
2016-01-29,1.13975
2016-02-01,1.14025
2016-02-02,1.13785
2016-02-03,1.1304
2016-02-04,1.1285
2016-02-05,1.1355
2016-02-08,1.13995
2016-02-09,1.13055
2016-02-10,1.13355
2016-02-11,1.117
2016-02-12,1.1156
2016-02-15,1.12825
2016-02-16,1.13215
2016-02-17,1.13465
2016-02-18,1.142
2016-02-19,1.13975
2016-02-22,1.1585
2016-02-23,1.157
2016-02-24,1.15475
2016-02-25,1.1602
2016-02-26,1.161
2016-02-29,1.17875
2016-03-01,1.179
2016-03-02,1.1955
2016-03-03,1.20045
2016-03-04,1.194
2016-03-07,1.21225
2016-03-08,1.207
2016-03-09,1.209
2016-03-10,1.211
2016-03-11,1.2245
2016-03-14,1.2312
2016-03-15,1.237
2016-03-16,1.2447
2016-03-17,1.2022
2016-03-18,1.21145
2016-03-21,1.21365
2016-03-22,1.2244
2016-03-23,1.2374
2016-03-24,1.23115
2016-03-25,.
2016-03-28,.
2016-03-29,1.23865
2016-03-30,1.21415
2016-03-31,1.2104
2016-04-01,1.2134
2016-04-04,1.2215
2016-04-05,1.2053
2016-04-06,1.2116
2016-04-07,1.20555
2016-04-08,1.20455
2016-04-11,1.20755
2016-04-12,1.20905
2016-04-13,1.21755
2016-04-14,1.2208
2016-04-15,1.22125
2016-04-18,1.2183
2016-04-19,1.2247
2016-04-20,1.2248
2016-04-21,1.23935
2016-04-22,1.23635
2016-04-25,1.23885
2016-04-26,1.2426
2016-04-27,1.2441
2016-04-28,1.23
2016-04-29,1.2295
2016-05-02,.
2016-05-03,1.2318
2016-05-04,1.23005
2016-05-05,1.2303
2016-05-06,1.22415
2016-05-09,1.22715
2016-05-10,1.2244
2016-05-11,1.22515
2016-05-12,1.2269
2016-05-13,1.2289
2016-05-16,1.23265
2016-05-17,1.24235
2016-05-18,1.26965
2016-05-19,1.2985
2016-05-20,1.302
2016-05-23,1.303
2016-05-24,1.31235
2016-05-25,1.3227
2016-05-26,1.3207
2016-05-27,1.3167
2016-05-30,.
2016-05-31,1.33740
2016-06-01,1.3284
2016-06-02,1.3324
2016-06-03,1.3314
2016-06-06,1.2856
2016-06-07,1.2851
2016-06-08,1.27835
2016-06-09,1.27425
2016-06-10,1.2735
2016-06-13,1.25925
2016-06-14,1.25325
2016-06-15,1.26525
2016-06-16,1.2385
2016-06-17,1.24075
2016-06-20,1.2515
2016-06-21,1.2525
2016-06-22,1.251
2016-06-23,1.24975
2016-06-24,1.2052
2016-06-27,1.1957
2016-06-28,1.20475
2016-06-29,1.21625
2016-06-30,1.23025
2016-07-01,1.225
2016-07-04,1.235
2016-07-05,1.23375
2016-07-06,1.2305
2016-07-07,1.2465
2016-07-08,1.253
2016-07-11,1.2695
2016-07-12,1.2845
2016-07-13,1.2934
2016-07-14,1.298
2016-07-15,1.30825
2016-07-18,1.3264
2016-07-19,1.3289
2016-07-20,1.3449
2016-07-21,1.3589
2016-07-22,1.3719
2016-07-25,1.3859
2016-07-26,1.3986
2016-07-27,1.4136
2016-07-28,1.42
2016-07-29,1.4321
2016-08-01,1.4336
2016-08-02,1.4426
2016-08-03,1.4546
2016-08-04,1.4766
2016-08-05,1.4751
2016-08-08,1.5081
2016-08-09,1.5225
2016-08-10,1.5245
2016-08-11,1.5195
2016-08-12,1.5257
2016-08-15,1.50661
2016-08-16,1.49822
2016-08-17,1.51961
2016-08-18,1.51544
2016-08-19,1.52322
2016-08-22,1.53294
2016-08-23,1.531
2016-08-24,1.52656
2016-08-25,1.52611
2016-08-26,1.53656
2016-08-29,.
2016-08-30,1.55933
2016-08-31,1.55711
2016-09-01,1.56556
2016-09-02,1.55944
2016-09-05,1.56244
2016-09-06,1.56133
2016-09-07,1.53922
2016-09-08,1.54033
2016-09-09,1.55678
2016-09-12,1.56644
2016-09-13,1.554
2016-09-14,1.55622
2016-09-15,1.55011
2016-09-16,1.54489
